School Name,State,Degree Level,Acceptance Rate,Average SAT,Undergraduate Students,White,Black,Hispanic,Asian,Net Price,4 Year Graduation Rate,Median Debt @ Graduation,Percent Female,First Generation,Median Family Income,Median Earnings @ 10 Years Post Grad,Mean Earnings @ 10 Years Post Grad,90th Percentile Earnings
Trine University,IN,3,91.88,0,2250,0.8484,0.0311,0.0382,0.0164,24276,0.577419355,25000,0.391951006,0.321561338,56102,49600,57165,79800
Talmudical Seminary of Bobov,NY,3,91.89,0,459,1,0,0,0,2468,0.429530201,0,0,0.850909091,17790,22432,22432,0
Florida Institute of Technology-Online,FL,3,92.04,0,776,0.4807,0.1869,0.1869,0.0258,23795,0.270525694,27000,0.524374177,0.401340283,30032,61200,43137,92300
University of Jamestown,ND,3,92.04,0,968,0.7252,0.0362,0.094,0.0114,19586,0.447826087,27000,0.495475113,0.282296651,77811.5,49600,56621,77200
National Louis University,IL,3,92.05,0,3791,0.1511,0.1986,0.5439,0.0216,14290,0.399146211,19750,0.751385042,0.504448399,24269.5,50800,45799,101300
Indiana State University,IN,3,92.3,0,6926,0.6906,0.1627,0.0694,0.0156,13241,0.383964923,24000,0.585659368,0.361903033,39723,42600,48387,67400
East Carolina University,NC,3,92.34,0,20385,0.6417,0.1605,0.0927,0.0261,16703,0.570934256,22750,0.593396951,0.264602804,51027,45800,55146,75400
California State University-Monterey Bay,CA,3,92.39,0,6129,0.2658,0.0253,0.5409,0.0648,11649,0.624117328,12750,0.670987039,0.517715715,28759,47000,59247,76900
Midwestern State University,TX,3,92.43,0,4421,0.4418,0.1547,0.247,0.0323,10464,0.454330709,21030,0.583907057,0.381792183,41159,47000,55747,73100
Massachusetts College of Liberal Arts,MA,3,92.45,0,760,0.6816,0.1079,0.1066,0.0263,17630,0.583554377,23750,0.636942675,0.33006993,45534,38300,48102,66000
Sterling College,VT,3,92.86,0,86,0.7209,0.0233,0.0698,0.0465,19280,0.558823529,23000,0.654205608,0,27616,30573,30573,0
Bellin College,WI,3,92.86,0,346,0.8786,0.0087,0.0202,0.0202,26211,0,18000,0.887850467,0.310344828,83875.5,62100,76222,0
Concordia University-Chicago,IL,3,93.04,0,1285,0.4304,0.1206,0.3494,0.0233,18256,0.435779817,23000,0.572390572,0.385006353,46286,42700,54089,76900
Portland State University,OR,3,93.09,0,14299,0.4895,0.0479,0.2193,0.0984,16281,0.462323872,20500,0.582363316,0.391093011,25986,50800,57906,89500
Benedictine University,IL,3,93.12,0,2026,0.4161,0.0864,0.1856,0.1836,25723,0.533701657,22500,0.576106731,0.343195266,47021,56400,63446,97500
Hiram College,OH,3,93.14,0,737,0.4803,0.0977,0.0923,0.0054,18388,0.550387597,27000,0.486166008,0.375796178,45871,46900,54311,82700
California State University-Sacramento,CA,3,93.21,0,28544,0.2245,0.0645,0.3886,0.2039,10911,0.583096485,15000,0.593394176,0.490483319,27217,54200,64876,90700
University of Puerto Rico-Bayamon,PR,3,93.23,0,3022,0,0,1,0,8424,0.202965709,5500,0.501958864,0.182060865,19142.5,34409,34409,0
Haskell Indian Nations University,KS,3,93.31,0,727,0,0,0,0,2639,0.328828829,0,0.527577938,0.400544959,22822,27500,37043,54400
Chaminade University of Honolulu,HI,3,93.41,0,1505,0.0924,0.0153,0.1249,0.2525,27738,0.379061372,23250,0.713097713,0.42338252,27931.5,41000,52343,77200
Central Washington University,WA,3,93.49,0,8650,0.5453,0.0508,0.1998,0.0449,16768,0.462713068,19500,0.545890822,0.400404222,42459,50100,61580,83000
Georgia Gwinnett College,GA,3,93.64,0,10451,0.2251,0.316,0.2693,0.1083,11648,0.030251142,20076,0.596433878,0.356138218,27959,47730,47730,0
The King's University,TX,3,93.75,0,255,0.5725,0.0863,0.1333,0.0275,22020,0.277777778,27000,0.537815126,0.4,35185,47100,41471,0
Robert Morris University,PA,3,93.77,0,2738,0.7615,0.0698,0.0351,0.0161,24724,0.596969697,26950,0.486778198,0.30017452,62641,53100,62105,84100
Marian University,IN,3,93.84,0,2347,0.6042,0.153,0.115,0.0273,22484,0.553680982,27000,0.665194996,0.291764706,49554,46600,58759,73700
Sonoma State University,CA,3,94,0,5892,0.4104,0.0289,0.41,0.0484,14528,0.60629515,16705,0.666872111,0.414746544,40508,53200,65986,89200
Coker University,SC,3,94.08,0,773,0.5252,0.2743,0.0543,0.0078,16290,0.417098446,26000,0.56846473,0.376160991,31522,37100,40117,60500
Moody Bible Institute,IL,3,94.14,0,1716,0.6072,0.0536,0.0915,0.0286,22106,0.557692308,18149,0.450229709,0.280898876,27275,45399,45399,0
San Francisco State University,CA,3,94.2,0,21035,0.1605,0.0612,0.3978,0.2529,12912,0.551049392,15371,0.584023669,0.482071243,27895.5,54700,68077,92900
Midwestern Baptist Theological Seminary,MO,3,94.29,0,879,0.6883,0.0614,0.058,0.0284,23452,0.351851852,15675,0.260416667,0,37100,50535,50535,0
Maharishi International University,IA,3,94.29,0,681,0.4479,0.1028,0.1145,0.0308,17818,0.466666667,24781,0.528735632,0.337662338,8040,30400,27981,0
