School Name,Type,Major,Description,1 Year,4 Years,5 Years
California State University-San Bernardino,Public,Education,Bachelor's Degree,25177,39478,46916
University of South Alabama,Public,Education,Bachelor's Degree,26888,43745,46909
The University of Montana,Public,Education,Bachelor's Degree,28298,40740,46905
Southwestern College,"Private, nonprofit",Education,Bachelor's Degree,44511,42860,46904
Purdue University Fort Wayne,Public,Education,Bachelor's Degree,41090,43083,46902
Concordia University Ann Arbor,"Private, nonprofit",Education,Bachelor's Degree,42845,46179,46891
Concordia University-Wisconsin,"Private, nonprofit",Education,Bachelor's Degree,42845,46179,46891
Auburn University at Montgomery,Public,Education,Bachelor's Degree,41081,41969,46873
Augustana University,"Private, nonprofit",Education,Bachelor's Degree,44290,43686,46871
University of Wisconsin-La Crosse,Public,Education,Bachelor's Degree,42706,43241,46844
Appalachian State University,Public,Education,Bachelor's Degree,41018,41584,46827
Stetson University,"Private, nonprofit",Education,Bachelor's Degree,50826,46344,46817
University of Minnesota-Morris,Public,Education,Bachelor's Degree,46414,41789,46783
Plymouth State University,Public,Education,Bachelor's Degree,39646,38804,46781
Bloomsburg University of Pennsylvania,Public,Education,Bachelor's Degree,43291,42171,46780
Northwest Florida State College,Public,Education,Bachelor's Degree,44340,40441,46751
Bethel University,"Private, nonprofit",Education,Bachelor's Degree,43639,42246,46750
University of South Dakota,Public,Education,Bachelor's Degree,43790,41250,46742
Goddard College,"Private, nonprofit",Education,Bachelor's Degree,56397,40429,46732
Auburn University,Public,Education,Bachelor's Degree,42878,43311,46730
California State University-Los Angeles,Public,Education,Bachelor's Degree,31366,42024,46726
Point Park University,"Private, nonprofit",Education,Bachelor's Degree,35540,44394,46703
Upper Iowa University,"Private, nonprofit",Education,Bachelor's Degree,41802,42066,46694
Concordia College at Moorhead,"Private, nonprofit",Education,Bachelor's Degree,44195,44319,46688
Valley City State University,Public,Education,Bachelor's Degree,44179,43590,46680
Alabama State University,Public,Education,Bachelor's Degree,39444,38533,46679
Wayne State College,Public,Education,Bachelor's Degree,41322,43371,46674
Louisiana State University-Shreveport,Public,Education,Bachelor's Degree,48717,42203,46664
Cleveland State University,Public,Education,Bachelor's Degree,38766,42364,46660
Gustavus Adolphus College,"Private, nonprofit",Education,Bachelor's Degree,44117,45329,46637
University of North Carolina at Greensboro,Public,Education,Bachelor's Degree,43342,40858,46600
University of Wisconsin-Superior,Public,Education,Bachelor's Degree,39475,43067,46591
Kansas State University,Public,Education,Bachelor's Degree,44320,43398,46577
Flagler College,"Private, nonprofit",Education,Bachelor's Degree,45447,42999,46571
Harding University,"Private, nonprofit",Education,Bachelor's Degree,40489,40433,46567
East Carolina University,Public,Education,Bachelor's Degree,42690,41251,46546
Shippensburg University of Pennsylvania,Public,Education,Bachelor's Degree,47319,44776,46546
Salem College,"Private, nonprofit",Education,Bachelor's Degree,36646,41366,46531
Salem State University,Public,Education,Bachelor's Degree,33065,38488,46529
University of Nebraska at Omaha,Public,Education,Bachelor's Degree,41326,41743,46519
Troy University,Public,Education,Bachelor's Degree,42788,42054,46496
University of Wisconsin-Milwaukee,Public,Education,Bachelor's Degree,39637,41552,46490
Misericordia University,"Private, nonprofit",Education,Bachelor's Degree,42793,44143,46487
Eastern Michigan University,Public,Education,Bachelor's Degree,42791,41207,46454
University of Wisconsin-Oshkosh,Public,Education,Bachelor's Degree,44453,43352,46453
Alma College,"Private, nonprofit",Education,Bachelor's Degree,45983,41720,46420
Chadron State College,Public,Education,Bachelor's Degree,40320,46161,46375
Fort Hays State University,Public,Education,Bachelor's Degree,42112,41703,46374
Central Michigan University,Public,Education,Bachelor's Degree,45225,40126,46356
Emporia State University,Public,Education,Bachelor's Degree,43954,43184,46340
University of Wisconsin-Madison,Public,Education,Bachelor's Degree,45966,42682,46338
Southwestern Assemblies of God University,"Private, nonprofit",Education,Bachelor's Degree,47921,42725,46333
Concordia University-Chicago,"Private, nonprofit",Education,Bachelor's Degree,44618,50576,46261
Indiana Wesleyan University-Marion,"Private, nonprofit",Education,Bachelor's Degree,41318,40017,46257
Indiana Wesleyan University-National & Global,"Private, nonprofit",Education,Bachelor's Degree,41318,40017,46257
Indiana State University,Public,Education,Bachelor's Degree,40204,41705,46252
Idaho State University,Public,Education,Bachelor's Degree,43105,40371,46248
University of Akron Main Campus,Public,Education,Bachelor's Degree,35111,42265,46247
Lubbock Christian University,"Private, nonprofit",Education,Bachelor's Degree,43729,41287,46244
University of Massachusetts-Boston,Public,Education,Bachelor's Degree,38846,41223,46240
University of Northwestern-St Paul,"Private, nonprofit",Education,Bachelor's Degree,40191,40808,46232
University of Northern Iowa,Public,Education,Bachelor's Degree,42790,42919,46217
University of Northern Colorado,Public,Education,Bachelor's Degree,40113,39251,46181
Valdosta State University,Public,Education,Bachelor's Degree,40642,41095,46175
Indiana State University,Public,Education,Bachelor's Degree,45862,42403,46163
Howard Payne University,"Private, nonprofit",Education,Bachelor's Degree,45891,40076,46147
New Mexico State University-Main Campus,Public,Education,Bachelor's Degree,41888,39750,46143
College of Coastal Georgia,Public,Education,Bachelor's Degree,40747,41135,46137
University of Central Oklahoma,Public,Education,Bachelor's Degree,45974,42773,46112
Indiana University-Southeast,Public,Education,Bachelor's Degree,43243,40348,46106
Newman University,"Private, nonprofit",Education,Bachelor's Degree,43296,41198,46106
Saint Ambrose University,"Private, nonprofit",Education,Bachelor's Degree,41178,43459,46094
McMurry University,"Private, nonprofit",Education,Bachelor's Degree,42900,40200,46088
Piedmont University,"Private, nonprofit",Education,Bachelor's Degree,41663,40156,46086
Southern Illinois University-Carbondale,Public,Education,Bachelor's Degree,39496,41021,46084
Monroe College,"Private, for-profit",Education,Bachelor's Degree,58194,34490,46080
Fairmont State University,Public,Education,Bachelor's Degree,40931,41084,46061
Bowling Green State University-Main Campus,Public,Education,Bachelor's Degree,41509,41782,46039
Appalachian State University,Public,Education,Bachelor's Degree,41144,40033,46027
University of Rio Grande,"Private, nonprofit",Education,Bachelor's Degree,29342,38531,46004
Oklahoma State University-Main Campus,Public,Education,Bachelor's Degree,43892,43047,45993
National Louis University,"Private, nonprofit",Education,Bachelor's Degree,40484,39344,45971
Northwestern State University of Louisiana,Public,Education,Bachelor's Degree,46908,41958,45968
Simpson College,"Private, nonprofit",Education,Bachelor's Degree,44872,42666,45965
Xavier University,"Private, nonprofit",Education,Bachelor's Degree,39217,39879,45957
Georgia Southwestern State University,Public,Education,Bachelor's Degree,38973,39988,45956
Tennessee State University,Public,Education,Bachelor's Degree,34756,38970,45926
Mount Mercy University,"Private, nonprofit",Education,Bachelor's Degree,43810,44720,45918
Oklahoma Baptist University,"Private, nonprofit",Education,Bachelor's Degree,45802,41792,45909
Minnesota State University Moorhead,Public,Education,Bachelor's Degree,43245,41942,45886
Bethel University,"Private, nonprofit",Education,Bachelor's Degree,47387,42276,45879
Augusta University,Public,Education,Bachelor's Degree,42419,42784,45876
Lee University,"Private, nonprofit",Education,Bachelor's Degree,45248,41701,45840
Northwest Nazarene University,"Private, nonprofit",Education,Bachelor's Degree,40450,41602,45827
Southern New Hampshire University,"Private, nonprofit",Education,Bachelor's Degree,41015,41946,45805
Bellarmine University,"Private, nonprofit",Education,Bachelor's Degree,38469,40317,45799
Wichita State University,Public,Education,Bachelor's Degree,47121,41417,45796
University of Central Arkansas,Public,Education,Bachelor's Degree,41562,41606,45778
Ashland University,"Private, nonprofit",Education,Bachelor's Degree,34223,39851,45775
Southeastern Louisiana University,Public,Education,Bachelor's Degree,47684,42392,45766
San Diego State University,Public,Education,Bachelor's Degree,28793,40772,45763
Arkansas State University,Public,Education,Bachelor's Degree,41530,40170,45755
University of Wisconsin-Whitewater,Public,Education,Bachelor's Degree,43611,41407,45670
Athens State University,Public,Education,Bachelor's Degree,40948,40525,45657
Winston-Salem State University,Public,Education,Bachelor's Degree,43077,35174,45607
University of Memphis,Public,Education,Bachelor's Degree,37999,41173,45592
Boise State University,Public,Education,Bachelor's Degree,42237,40415,45561
Western Michigan University,Public,Education,Bachelor's Degree,41296,41327,45552
Saint Cloud State University,Public,Education,Bachelor's Degree,40580,42417,45546
Carroll University,"Private, nonprofit",Education,Bachelor's Degree,45253,44620,45538
University of Michigan-Flint,Public,Education,Bachelor's Degree,43077,39134,45530
McNeese State University,Public,Education,Bachelor's Degree,44225,40789,45505
Concord University,Public,Education,Bachelor's Degree,42081,39903,45504
Campbell University,"Private, nonprofit",Education,Bachelor's Degree,41994,41148,45501
Plymouth State University,Public,Education,Bachelor's Degree,41035,44171,45500
Jacksonville State University,Public,Education,Bachelor's Degree,41384,41686,45498
Anderson University,"Private, nonprofit",Education,Bachelor's Degree,44851,40545,45495
Oakland University,Public,Education,Bachelor's Degree,42440,40787,45473
Ouachita Baptist University,"Private, nonprofit",Education,Bachelor's Degree,41595,40482,45473
University of Mount Olive,"Private, nonprofit",Education,Bachelor's Degree,45316,40485,45467
Montana State University Billings,Public,Education,Bachelor's Degree,35132,40835,45454
Minnesota State University-Mankato,Public,Education,Bachelor's Degree,44171,41039,45447
University of North Carolina Wilmington,Public,Education,Bachelor's Degree,40777,41584,45395
Central College,"Private, nonprofit",Education,Bachelor's Degree,44000,43145,45342
Rockford University,"Private, nonprofit",Education,Bachelor's Degree,31892,41324,45315
University of North Carolina at Pembroke,Public,Education,Bachelor's Degree,42973,38302,45292
University of Saint Mary,"Private, nonprofit",Education,Bachelor's Degree,41669,37696,45272
University of North Carolina at Charlotte,Public,Education,Bachelor's Degree,42789,41455,45221
Clemson University,Public,Education,Bachelor's Degree,40394,45406,45156
Mount Vernon Nazarene University,"Private, nonprofit",Education,Bachelor's Degree,35268,37656,45142
LeTourneau University,"Private, nonprofit",Education,Bachelor's Degree,35487,41334,45128
University of Wisconsin-Green Bay,Public,Education,Bachelor's Degree,42768,39768,45121
Southeastern Louisiana University,Public,Education,Bachelor's Degree,46201,41783,45093
Eastern New Mexico University-Main Campus,Public,Education,Bachelor's Degree,41896,37548,45082
Ball State University,Public,Education,Bachelor's Degree,41821,40405,45064
West Virginia State University,Public,Education,Bachelor's Degree,42197,40676,45022
Flagler College,"Private, nonprofit",Education,Bachelor's Degree,43358,42163,44999
Bradley University,"Private, nonprofit",Education,Bachelor's Degree,43359,43491,44997
Otterbein University,"Private, nonprofit",Education,Bachelor's Degree,38651,40365,44982
University of Nebraska at Kearney,Public,Education,Bachelor's Degree,38853,38853,44982
Knox College,"Private, nonprofit",Education,Bachelor's Degree,41934,41160,44962
Western Carolina University,Public,Education,Bachelor's Degree,40594,39561,44949
Buena Vista University,"Private, nonprofit",Education,Bachelor's Degree,42834,39878,44936
College of Saint Benedict,"Private, nonprofit",Education,Bachelor's Degree,43466,42384,44930
Slippery Rock University of Pennsylvania,Public,Education,Bachelor's Degree,37966,33563,44923
Notre Dame College,"Private, nonprofit",Education,Bachelor's Degree,35991,37700,44920
Lewis-Clark State College,Public,Education,Bachelor's Degree,40305,41068,44905
Ohio State University-Lima Campus,Public,Education,Bachelor's Degree,36483,38263,44875
Ohio State University-Main Campus,Public,Education,Bachelor's Degree,36483,38263,44875
Ohio State University-Mansfield Campus,Public,Education,Bachelor's Degree,36483,38263,44875
Ohio State University-Marion Campus,Public,Education,Bachelor's Degree,36483,38263,44875
Ohio State University-Newark Campus,Public,Education,Bachelor's Degree,36483,38263,44875
St Catherine University,"Private, nonprofit",Education,Bachelor's Degree,32946,37732,44865
Worcester State University,Public,Education,Bachelor's Degree,42313,34715,44840
Nicholls State University,Public,Education,Bachelor's Degree,46549,40767,44812
College of Charleston,Public,Education,Bachelor's Degree,41402,39792,44809
Wright State University-Main Campus,Public,Education,Bachelor's Degree,33137,38147,44788
University of Louisiana at Lafayette,Public,Education,Bachelor's Degree,44154,40742,44770
Bowling Green State University-Main Campus,Public,Education,Bachelor's Degree,40271,40145,44761
Grand Canyon University,"Private, for-profit",Education,Bachelor's Degree,40682,39263,44724
Northeastern State University,Public,Education,Bachelor's Degree,42150,40593,44719
St Petersburg College,Public,Education,Bachelor's Degree,35491,38737,44696
Cameron University,Public,Education,Bachelor's Degree,41453,40083,44687
University of Arkansas-Fort Smith,Public,Education,Bachelor's Degree,40525,39829,44674
University of Wisconsin-River Falls,Public,Education,Bachelor's Degree,39546,41663,44667
Marshall University,Public,Education,Bachelor's Degree,40057,40056,44660
Arkansas Tech University,Public,Education,Bachelor's Degree,41160,39589,44636
University of Wisconsin-Milwaukee,Public,Education,Bachelor's Degree,43128,43447,44601
John Brown University,"Private, nonprofit",Education,Bachelor's Degree,42496,41790,44600
University of Wisconsin-Eau Claire,Public,Education,Bachelor's Degree,44178,41272,44565
William Jessup University,"Private, nonprofit",Education,Bachelor's Degree,44985,34528,44564
McKendree University,"Private, nonprofit",Education,Bachelor's Degree,43707,39318,44490
Western Illinois University,Public,Education,Bachelor's Degree,40544,39057,44479
Kent State University at Kent,Public,Education,Bachelor's Degree,37370,36833,44468
West Virginia University at Parkersburg,Public,Education,Bachelor's Degree,35543,40341,44442
Dakota State University,Public,Education,Bachelor's Degree,46627,42479,44432
Bay Path University,"Private, nonprofit",Education,Bachelor's Degree,33330,38591,44352
Brigham Young University-Idaho,"Private, nonprofit",Education,Bachelor's Degree,42094,43390,44333
Rockford University,"Private, nonprofit",Education,Bachelor's Degree,38867,41364,44321
Middle Tennessee State University,Public,Education,Bachelor's Degree,42657,39987,44313
Glenville State University,Public,Education,Bachelor's Degree,41256,40389,44243
California University of Pennsylvania,Public,Education,Bachelor's Degree,38237,37530,44236
Gannon University,"Private, nonprofit",Education,Bachelor's Degree,44313,41001,44194
Youngstown State University,Public,Education,Bachelor's Degree,33398,37956,44174
Walsh University,"Private, nonprofit",Education,Bachelor's Degree,38609,38373,44154
Montana State University,Public,Education,Bachelor's Degree,37501,40365,44136
Lourdes University,"Private, nonprofit",Education,Bachelor's Degree,33041,39249,44122
Hardin-Simmons University,"Private, nonprofit",Education,Bachelor's Degree,44023,41503,44120
Lees-McRae College,"Private, nonprofit",Education,Bachelor's Degree,38996,38705,44097
University of Louisiana at Monroe,Public,Education,Bachelor's Degree,43841,40098,44097
University of Toledo,Public,Education,Bachelor's Degree,38625,38102,44082
University of Michigan-Flint,Public,Education,Bachelor's Degree,41809,41652,44078
Immaculata University,"Private, nonprofit",Education,Bachelor's Degree,42670,41994,44054
Northern State University,Public,Education,Bachelor's Degree,46042,44102,44043
Southern Illinois University-Edwardsville,Public,Education,Bachelor's Degree,38830,38769,44029
Arizona State University Campus Immersion,Public,Education,Bachelor's Degree,37535,40490,44015
Arizona State University Digital Immersion,Public,Education,Bachelor's Degree,37535,40490,44015
Benedictine College,"Private, nonprofit",Education,Bachelor's Degree,42834,38385,43998
Cleveland State University,Public,Education,Bachelor's Degree,32823,39354,43995
California State University-Dominguez Hills,Public,Education,Bachelor's Degree,29840,38590,43988
Fayetteville State University,Public,Education,Bachelor's Degree,42080,39249,43980
University of Wisconsin-Stevens Point,Public,Education,Bachelor's Degree,43087,41306,43917
University of Missouri-Kansas City,Public,Education,Bachelor's Degree,39942,39751,43892
Ohio University-Chillicothe Campus,Public,Education,Bachelor's Degree,34983,38521,43853
Ohio University-Eastern Campus,Public,Education,Bachelor's Degree,34983,38521,43853
Ohio University-Lancaster Campus,Public,Education,Bachelor's Degree,34983,38521,43853
Ohio University-Main Campus,Public,Education,Bachelor's Degree,34983,38521,43853
Ohio University-Southern Campus,Public,Education,Bachelor's Degree,34983,38521,43853
Ohio University-Zanesville Campus,Public,Education,Bachelor's Degree,34983,38521,43853
Taylor University,"Private, nonprofit",Education,Bachelor's Degree,44028,44084,43823
Bemidji State University,Public,Education,Bachelor's Degree,42841,40762,43816
Utah Tech University,Public,Education,Bachelor's Degree,52665,48196,43796
University of Wisconsin-Stevens Point,Public,Education,Bachelor's Degree,40005,38272,43771
University of Northern Colorado,Public,Education,Bachelor's Degree,40614,37357,43737
Pittsburg State University,Public,Education,Bachelor's Degree,41572,42578,43736
Carson-Newman University,"Private, nonprofit",Education,Bachelor's Degree,42222,41880,43731
Columbus State University,Public,Education,Bachelor's Degree,41780,38204,43723
Wilmington College,"Private, nonprofit",Education,Bachelor's Degree,37015,35768,43693
The University of Tennessee-Chattanooga,Public,Education,Bachelor's Degree,39481,39355,43652
Baker College,"Private, nonprofit",Education,Bachelor's Degree,37750,38676,43606
The University of Montana,Public,Education,Bachelor's Degree,36142,38726,43594
University of South Carolina-Columbia,Public,Education,Bachelor's Degree,40785,38005,43561
The University of Findlay,"Private, nonprofit",Education,Bachelor's Degree,33154,37550,43556
South Dakota State University,Public,Education,Bachelor's Degree,43530,38000,43496
Beloit College,"Private, nonprofit",Education,Bachelor's Degree,33493,35797,43478
Governors State University,Public,Education,Bachelor's Degree,45235,39328,43477
Seton Hill University,"Private, nonprofit",Education,Bachelor's Degree,27056,39607,43427
The University of West Florida,Public,Education,Bachelor's Degree,45088,36235,43416
Gardner-Webb University,"Private, nonprofit",Education,Bachelor's Degree,39850,38920,43354
University of Central Arkansas,Public,Education,Bachelor's Degree,39795,39742,43267
University of Arkansas at Little Rock,Public,Education,Bachelor's Degree,38936,38208,43247
University of Mount Olive,"Private, nonprofit",Education,Bachelor's Degree,37409,37639,43236
Freed-Hardeman University,"Private, nonprofit",Education,Bachelor's Degree,40936,41017,43222
Carroll College,"Private, nonprofit",Education,Bachelor's Degree,43469,42259,43186
Coastal Carolina University,Public,Education,Bachelor's Degree,40053,38156,43180
Anderson University,"Private, nonprofit",Education,Bachelor's Degree,40385,36180,43168
Bowling Green State University-Main Campus,Public,Education,Bachelor's Degree,30483,38464,43137
Florida State College at Jacksonville,Public,Education,Bachelor's Degree,45008,40438,43129
Martin Luther College,"Private, nonprofit",Education,Bachelor's Degree,46706,38575,43115
Northwest Missouri State University,Public,Education,Bachelor's Degree,37057,37306,43088
University of Kentucky,Public,Education,Bachelor's Degree,41312,39718,43081
East Central University,Public,Education,Bachelor's Degree,40370,39626,43004
The University of Tennessee-Martin,Public,Education,Bachelor's Degree,41834,38612,42991
Ashland University,"Private, nonprofit",Education,Bachelor's Degree,28468,37639,42971
Wright State University-Lake Campus,Public,Education,Bachelor's Degree,36332,37663,42949
Wright State University-Main Campus,Public,Education,Bachelor's Degree,36332,37663,42949
University of Maine at Farmington,Public,Education,Bachelor's Degree,38835,38479,42890
Saint Louis University,"Private, nonprofit",Education,Bachelor's Degree,36244,40192,42866
West Liberty University,Public,Education,Bachelor's Degree,42005,38686,42828
Rasmussen University-Florida,"Private, for-profit",Education,Bachelor's Degree,37480,36299,42810
Rasmussen University-Illinois,"Private, for-profit",Education,Bachelor's Degree,37480,36299,42810
Rasmussen University-Kansas,"Private, for-profit",Education,Bachelor's Degree,37480,36299,42810
Rasmussen University-Minnesota,"Private, for-profit",Education,Bachelor's Degree,37480,36299,42810
Rasmussen University-North Dakota,"Private, for-profit",Education,Bachelor's Degree,37480,36299,42810
Rasmussen University-Wisconsin,"Private, for-profit",Education,Bachelor's Degree,37480,36299,42810
The University of Montana-Western,Public,Education,Bachelor's Degree,36742,38836,42791
Anderson University,"Private, nonprofit",Education,Bachelor's Degree,40445,36649,42775
Northern Michigan University,Public,Education,Bachelor's Degree,39963,37995,42759
Wayland Baptist University,"Private, nonprofit",Education,Bachelor's Degree,38397,38336,42735
Dordt University,"Private, nonprofit",Education,Bachelor's Degree,39749,39197,42730
University of Dubuque,"Private, nonprofit",Education,Bachelor's Degree,38602,41888,42709
University of Maine,Public,Education,Bachelor's Degree,38924,39208,42684
University of Maine at Machias,Public,Education,Bachelor's Degree,38924,39208,42684
Virginia State University,Public,Education,Bachelor's Degree,26547,38159,42669
Heidelberg University,"Private, nonprofit",Education,Bachelor's Degree,35895,40411,42632
Southeastern Oklahoma State University,Public,Education,Bachelor's Degree,42194,39890,42599
University of Memphis,Public,Education,Bachelor's Degree,33502,36076,42469
Tennessee Technological University,Public,Education,Bachelor's Degree,39034,37920,42465
Mississippi College,"Private, nonprofit",Education,Bachelor's Degree,39558,37801,42434
Indiana University-East,Public,Education,Bachelor's Degree,38610,38498,42414
California State University-Fresno,Public,Education,Bachelor's Degree,24425,33752,42381
Indiana University-Kokomo,Public,Education,Bachelor's Degree,40553,38065,42348
North Park University,"Private, nonprofit",Education,Bachelor's Degree,46168,39900,42315
Dalton State College,Public,Education,Bachelor's Degree,39889,39065,42302
Ashford University,"Private, for-profit",Education,Bachelor's Degree,34704,34380,42240
Catawba College,"Private, nonprofit",Education,Bachelor's Degree,38071,38251,42235
Augsburg University,"Private, nonprofit",Education,Bachelor's Degree,39536,40536,42173
University of Pittsburgh-Bradford,Public,Education,Bachelor's Degree,36248,35570,42137
University of Pittsburgh-Greensburg,Public,Education,Bachelor's Degree,36248,35570,42137
University of Pittsburgh-Johnstown,Public,Education,Bachelor's Degree,36248,35570,42137
University of Pittsburgh-Pittsburgh Campus,Public,Education,Bachelor's Degree,36248,35570,42137
Howard Payne University,"Private, nonprofit",Education,Bachelor's Degree,35357,38059,42130
University of Missouri-Columbia,Public,Education,Bachelor's Degree,37302,38973,42120
East Tennessee State University,Public,Education,Bachelor's Degree,40276,38428,42111
Mount Saint Joseph University,"Private, nonprofit",Education,Bachelor's Degree,39660,40097,42111
University of Arkansas-Fort Smith,Public,Education,Bachelor's Degree,40565,40007,42085
Webster University,"Private, nonprofit",Education,Bachelor's Degree,34546,38697,42072
Winthrop University,Public,Education,Bachelor's Degree,41708,39119,42071
University of Southern Indiana,Public,Education,Bachelor's Degree,41510,39232,42035
East Texas Baptist University,"Private, nonprofit",Education,Bachelor's Degree,44547,38935,42030
California Baptist University,"Private, nonprofit",Education,Bachelor's Degree,29717,33227,41923
Loras College,"Private, nonprofit",Education,Bachelor's Degree,40328,37734,41904
Eastern Washington University,Public,Education,Bachelor's Degree,33028,44130,41892
Wilmington University,"Private, nonprofit",Education,Bachelor's Degree,33890,39240,41806
Muskingum University,"Private, nonprofit",Education,Bachelor's Degree,35861,36935,41733
Austin Peay State University,Public,Education,Bachelor's Degree,41743,39648,41717
University of Northwestern-St Paul,"Private, nonprofit",Education,Bachelor's Degree,39621,33463,41671
Baldwin Wallace University,"Private, nonprofit",Education,Bachelor's Degree,37649,38553,41659
University of South Carolina-Upstate,Public,Education,Bachelor's Degree,40081,37223,41627
Eureka College,"Private, nonprofit",Education,Bachelor's Degree,43609,38196,41624
University of South Carolina-Columbia,Public,Education,Bachelor's Degree,40596,38368,41608
North Greenville University,"Private, nonprofit",Education,Bachelor's Degree,43644,38019,41578
Langston University,Public,Education,Bachelor's Degree,26222,39206,41553
Cabrini University,"Private, nonprofit",Education,Bachelor's Degree,27998,37516,41529
Lindenwood University,"Private, nonprofit",Education,Bachelor's Degree,37314,35920,41509
Peru State College,Public,Education,Bachelor's Degree,37072,37315,41483
Winthrop University,Public,Education,Bachelor's Degree,34418,35980,41444
University of Akron Main Campus,Public,Education,Bachelor's Degree,35368,37075,41433
Columbia College,"Private, nonprofit",Education,Bachelor's Degree,39489,34568,41415
Northern Kentucky University,Public,Education,Bachelor's Degree,38059,37876,41370
Western Kentucky University,Public,Education,Bachelor's Degree,36830,38071,41362
Lee University,"Private, nonprofit",Education,Bachelor's Degree,44397,39712,41273
University of South Carolina Aiken,Public,Education,Bachelor's Degree,38667,38432,40901
Arkansas State University,Public,Education,Bachelor's Degree,36847,36457,40839
University of Wisconsin-Stout,Public,Education,Bachelor's Degree,38670,39507,40807
Evangel University,"Private, nonprofit",Education,Bachelor's Degree,36005,33595,40789
Southern Arkansas University Main Campus,Public,Education,Bachelor's Degree,37590,34778,40746
King's College,"Private, nonprofit",Education,Bachelor's Degree,35199,37507,40735
Millikin University,"Private, nonprofit",Education,Bachelor's Degree,43331,37019,40735
California State University-Channel Islands,Public,Education,Bachelor's Degree,34646,39111,40726
Henderson State University,Public,Education,Bachelor's Degree,36511,34457,40669
Francis Marion University,Public,Education,Bachelor's Degree,39122,35186,40664
Western Kentucky University,Public,Education,Bachelor's Degree,37288,35506,40660
Mississippi College,"Private, nonprofit",Education,Bachelor's Degree,37051,35386,40530
South Carolina State University,Public,Education,Bachelor's Degree,30676,33661,40526
Eastern Kentucky University,Public,Education,Bachelor's Degree,35740,36975,40497
Grambling State University,Public,Education,Bachelor's Degree,22864,32630,40481
Youngstown State University,Public,Education,Bachelor's Degree,33735,35905,40454
Lander University,Public,Education,Bachelor's Degree,39601,38943,40438
Cedarville University,"Private, nonprofit",Education,Bachelor's Degree,37102,38658,40365
North Greenville University,"Private, nonprofit",Education,Bachelor's Degree,39562,35215,40312
Olivet Nazarene University,"Private, nonprofit",Education,Bachelor's Degree,44072,36869,40237
Southwestern Oklahoma State University,Public,Education,Bachelor's Degree,41943,38028,40173
Kent State University at Geauga,Public,Education,Bachelor's Degree,33040,34702,40115
Kent State University at Kent,Public,Education,Bachelor's Degree,33040,34702,40115
Kent State University at Salem,Public,Education,Bachelor's Degree,33040,34702,40115
Kent State University at Stark,Public,Education,Bachelor's Degree,33040,34702,40115
Kent State University at Tuscarawas,Public,Education,Bachelor's Degree,33040,34702,40115
Bob Jones University,"Private, nonprofit",Education,Bachelor's Degree,34152,31815,40057
Mississippi State University,Public,Education,Bachelor's Degree,37945,36664,40048
University of Mississippi,Public,Education,Bachelor's Degree,39985,38760,39929
Malone University,"Private, nonprofit",Education,Bachelor's Degree,37284,36568,39927
Ashford University,"Private, for-profit",Education,Bachelor's Degree,33086,35756,39866
Belmont Abbey College,"Private, nonprofit",Education,Bachelor's Degree,42167,37661,39719
Murray State University,Public,Education,Bachelor's Degree,36871,34508,39712
Missouri Southern State University,Public,Education,Bachelor's Degree,36345,36817,39648
Eastern Kentucky University,Public,Education,Bachelor's Degree,37366,36043,39598
Arkansas Tech University,Public,Education,Bachelor's Degree,37244,35227,39595
University of Central Missouri,Public,Education,Bachelor's Degree,33198,36057,39521
Jackson State University,Public,Education,Bachelor's Degree,28678,34082,39466
Missouri Western State University,Public,Education,Bachelor's Degree,33695,34238,39329
University of Mount Union,"Private, nonprofit",Education,Bachelor's Degree,38277,35732,39296
Humphreys University-Stockton and Modesto Campuses,"Private, nonprofit",Education,Bachelor's Degree,40450,33253,39277
Greenville University,"Private, nonprofit",Education,Bachelor's Degree,36911,36832,39152
Charleston Southern University,"Private, nonprofit",Education,Bachelor's Degree,40478,36021,39131
University of Southern Mississippi,Public,Education,Bachelor's Degree,38766,36496,39104
Colorado Christian University,"Private, nonprofit",Education,Bachelor's Degree,40448,38131,38973
Southeast Missouri State University,Public,Education,Bachelor's Degree,34206,34781,38822
Geneva College,"Private, nonprofit",Education,Bachelor's Degree,33818,40758,38780
Missouri Baptist University,"Private, nonprofit",Education,Bachelor's Degree,33531,35812,38736
University of Missouri-St Louis,Public,Education,Bachelor's Degree,35731,36475,38671
Bethel University,"Private, nonprofit",Education,Bachelor's Degree,44583,38477,38639
Graceland University-Lamoni,"Private, nonprofit",Education,Bachelor's Degree,36563,35908,38633
Harris-Stowe State University,Public,Education,Bachelor's Degree,28500,35784,38610
Asbury University,"Private, nonprofit",Education,Bachelor's Degree,39215,34200,38609
Ohio State University-Lima Campus,Public,Education,Bachelor's Degree,36487,35856,38587
Ohio State University-Main Campus,Public,Education,Bachelor's Degree,36487,35856,38587
Ohio State University-Mansfield Campus,Public,Education,Bachelor's Degree,36487,35856,38587
Ohio State University-Marion Campus,Public,Education,Bachelor's Degree,36487,35856,38587
Ohio State University-Newark Campus,Public,Education,Bachelor's Degree,36487,35856,38587
University of Mississippi,Public,Education,Bachelor's Degree,37838,35333,38389
Evangel University,"Private, nonprofit",Education,Bachelor's Degree,34872,35570,38371
Florida Gulf Coast University,Public,Education,Bachelor's Degree,38392,39245,38358
Liberty University,"Private, nonprofit",Education,Bachelor's Degree,31136,31860,38192
University of Arkansas at Pine Bluff,Public,Education,Bachelor's Degree,30536,29218,38111
