School Name,Type,Major,Description,1 Year,4 Years,5 Years
Ithaca College,"Private, nonprofit",Writing Studies,Bachelor's Degree,26443,32250,38514
CUNY Brooklyn College,Public,Writing Studies,Bachelor's Degree,20242,35045,38415
Western Washington University,Public,Writing Studies,Bachelor's Degree,27116,30090,38281
Western Michigan University,Public,Writing Studies,Bachelor's Degree,21468,34119,38111
University of California-Riverside,Public,Writing Studies,Bachelor's Degree,21765,32082,38017
Beloit College,"Private, nonprofit",Writing Studies,Bachelor's Degree,21720,32518,37723
Northern Michigan University,Public,Writing Studies,Bachelor's Degree,21696,29758,33425
SUNY at Purchase College,Public,Writing Studies,Bachelor's Degree,16556,24240,32973
Oakland University,Public,Writing Studies,Bachelor's Degree,34464,32405,32718
California State University-San Bernardino,Public,Writing Studies,Bachelor's Degree,20726,24378,32348
Full Sail University,"Private, for-profit",Writing Studies,Bachelor's Degree,23449,28553,31734
Knox College,"Private, nonprofit",Writing Studies,Bachelor's Degree,15466,28561,31169
Savannah College of Art and Design,"Private, nonprofit",Writing Studies,Bachelor's Degree,28418,29298,30561
SUNY College at Potsdam,Public,Writing Studies,Bachelor's Degree,20455,29540,29477
Rhode Island School of Design,"Private, nonprofit",Woodworking,Bachelor's Degree,19151,51606,46712
Stephen F Austin State University,Public,Wildlife Management,Bachelor's Degree,43282,51550,58015
Auburn University,Public,Wildlife Management,Bachelor's Degree,28748,45966,52409
The University of Tennessee-Knoxville,Public,Wildlife Management,Bachelor's Degree,30924,44973,50817
Mississippi State University,Public,Wildlife Management,Bachelor's Degree,30247,41837,50619
Valley City State University,Public,Wildlife Management,Bachelor's Degree,44253,45038,50283
Arkansas Tech University,Public,Wildlife Management,Bachelor's Degree,28652,42825,48923
New Mexico State University-Main Campus,Public,Wildlife Management,Bachelor's Degree,33603,43551,48906
South Dakota State University,Public,Wildlife Management,Bachelor's Degree,39483,42593,47857
University of Idaho,Public,Wildlife Management,Bachelor's Degree,31022,38589,46473
University of Delaware,Public,Wildlife Management,Bachelor's Degree,22411,40710,46434
Tennessee Technological University,Public,Wildlife Management,Bachelor's Degree,29936,42869,46021
West Virginia University,Public,Wildlife Management,Bachelor's Degree,29470,37268,45964
Virginia Polytechnic Institute and State University,Public,Wildlife Management,Bachelor's Degree,25563,41679,45136
Michigan State University,Public,Wildlife Management,Bachelor's Degree,27762,39369,44778
Eastern Kentucky University,Public,Wildlife Management,Bachelor's Degree,25492,36641,44672
University of Georgia,Public,Wildlife Management,Bachelor's Degree,22354,35854,43583
University of Wisconsin-Stevens Point,Public,Wildlife Management,Bachelor's Degree,27273,37946,43392
University of New Hampshire-Main Campus,Public,Wildlife Management,Bachelor's Degree,27698,38983,42217
University of Maine,Public,Wildlife Management,Bachelor's Degree,27636,37074,41873
California State Polytechnic University-Humboldt,Public,Wildlife Management,Bachelor's Degree,26325,33037,41148
Northwest Missouri State University,Public,Wildlife Management,Bachelor's Degree,36758,37207,41041
The University of Montana,Public,Wildlife Management,Bachelor's Degree,28339,34957,40484
Delaware Valley University,"Private, nonprofit",Wildlife Management,Bachelor's Degree,28178,36006,40196
University of Florida,Public,Wildlife Management,Bachelor's Degree,23715,35117,39946
Unity College,"Private, nonprofit",Wildlife Management,Bachelor's Degree,29312,32096,33951
Otis College of Art and Design,"Private, nonprofit",Visual and Performing Arts,Bachelor's Degree,21558,61607,72325
University of Central Florida,Public,Visual and Performing Arts,Bachelor's Degree,28878,41124,68613
New York University,"Private, nonprofit",Visual and Performing Arts,Bachelor's Degree,28990,56533,65953
SUNY at Purchase College,Public,Visual and Performing Arts,Bachelor's Degree,31175,56168,59410
George Mason University,Public,Visual and Performing Arts,Bachelor's Degree,31941,47021,52669
Kennesaw State University,Public,Visual and Performing Arts,Bachelor's Degree,27636,39557,48436
SUNY Oneonta,Public,Visual and Performing Arts,Bachelor's Degree,19135,42308,47984
Arizona State University Campus Immersion,Public,Visual and Performing Arts,Bachelor's Degree,22817,42387,47489
The University of Texas at Dallas,Public,Visual and Performing Arts,Bachelor's Degree,28494,39055,47167
Mississippi State University,Public,Visual and Performing Arts,Bachelor's Degree,24752,37191,46246
Longwood University,Public,Visual and Performing Arts,Bachelor's Degree,34812,40954,45564
University of North Carolina at Asheville,Public,Visual and Performing Arts,Bachelor's Degree,23023,38451,45049
Stetson University,"Private, nonprofit",Visual and Performing Arts,Bachelor's Degree,26913,39043,44802
Champlain College,"Private, nonprofit",Visual and Performing Arts,Bachelor's Degree,30138,38725,44607
Illinois State University,Public,Visual and Performing Arts,Bachelor's Degree,24384,35909,44262
Grand Canyon University,"Private, for-profit",Visual and Performing Arts,Bachelor's Degree,24691,35951,43593
The University of Texas at Austin,Public,Visual and Performing Arts,Bachelor's Degree,29707,32436,43173
Bloomfield College,"Private, nonprofit",Visual and Performing Arts,Bachelor's Degree,17625,32527,41699
Stockton University,Public,Visual and Performing Arts,Bachelor's Degree,20705,32717,41595
University of Wisconsin-Whitewater,Public,Visual and Performing Arts,Bachelor's Degree,28226,34177,41226
California State University-San Marcos,Public,Visual and Performing Arts,Bachelor's Degree,27741,32802,41204
Jackson State University,Public,Visual and Performing Arts,Bachelor's Degree,23555,31520,39463
Temple University,Public,Visual and Performing Arts,Bachelor's Degree,20667,28148,39341
University of New Mexico-Main Campus,Public,Visual and Performing Arts,Bachelor's Degree,25286,31813,39053
Bowling Green State University-Main Campus,Public,Visual and Performing Arts,Bachelor's Degree,18819,26082,38860
The Pennsylvania State University,Public,Visual and Performing Arts,Bachelor's Degree,25702,35797,37822
The University of Tennessee-Martin,Public,Visual and Performing Arts,Bachelor's Degree,25660,32222,37646
State University of New York at New Paltz,Public,Visual and Performing Arts,Bachelor's Degree,19893,33482,36940
Christopher Newport University,Public,Visual and Performing Arts,Bachelor's Degree,23656,31884,36266
Salem State University,Public,Visual and Performing Arts,Bachelor's Degree,24699,29478,35940
New Mexico State University-Main Campus,Public,Visual and Performing Arts,Bachelor's Degree,18470,30846,34364
University of Colorado Colorado Springs,Public,Visual and Performing Arts,Bachelor's Degree,30966,23949,32227
Wichita State University,Public,Visual and Performing Arts,Bachelor's Degree,20013,25429,30426
University of Houston-Downtown,Public,Visual and Performing Arts,Bachelor's Degree,19527,21782,28279
Southeast Missouri State University,Public,Visual and Performing Arts,Bachelor's Degree,26668,32225,27497
Berklee College of Music,"Private, nonprofit",Visual and Performing Arts,Bachelor's Degree,13771,21938,26158
Bennington College,"Private, nonprofit",Visual and Performing Arts,Bachelor's Degree,20809,19065,20724
Elon University,"Private, nonprofit",Visual and Performing Arts,Bachelor's Degree,18903,31442,16958
Mercy College,"Private, nonprofit",Veterinary Health,Bachelor's Degree,51950,56476,67148
St Petersburg College,Public,Veterinary Health,Bachelor's Degree,48287,42382,48198
Michigan State University,Public,Veterinary Health,Bachelor's Degree,41400,43744,46982
SUNY College of Technology at Canton,Public,Veterinary Health,Bachelor's Degree,36640,41655,46914
Wilson College,"Private, nonprofit",Veterinary Health,Bachelor's Degree,35554,37027,42260
Morehead State University,Public,Veterinary Health,Bachelor's Degree,37794,35654,39987
Mississippi State University,Public,Veterinary Health,Bachelor's Degree,33626,34058,37212
North Dakota State University-Main Campus,Public,Veterinary Health,Bachelor's Degree,36814,37074,35933
Murray State University,Public,Veterinary Health,Bachelor's Degree,33536,31553,35030
Embry-Riddle Aeronautical University-Daytona Beach,"Private, nonprofit",Vehicle Maintenance Technology,Bachelor's Degree,81436,85596,89361
Embry-Riddle Aeronautical University-Worldwide,"Private, nonprofit",Vehicle Maintenance Technology,Bachelor's Degree,81436,85596,89361
Western Michigan University,Public,Vehicle Maintenance Technology,Bachelor's Degree,47286,65565,77085
SUNY Morrisville,Public,Vehicle Maintenance Technology,Bachelor's Degree,53308,51151,57956
University of California-Berkeley,Public,Urban Studies,Bachelor's Degree,58171,81737,105067
Barnard College,"Private, nonprofit",Urban Studies,Bachelor's Degree,40294,62064,75859
University of California-San Diego,Public,Urban Studies,Bachelor's Degree,37074,65845,71507
California State University-Northridge,Public,Urban Studies,Bachelor's Degree,46826,63319,70696
University of Washington-Seattle Campus,Public,Urban Studies,Bachelor's Degree,47585,64344,66334
University of Washington-Tacoma Campus,Public,Urban Studies,Bachelor's Degree,47585,64344,66334
University of California-Irvine,Public,Urban Studies,Bachelor's Degree,34385,51127,62232
Rutgers University-Camden,Public,Urban Studies,Bachelor's Degree,44263,53255,61189
Rutgers University-New Brunswick,Public,Urban Studies,Bachelor's Degree,44263,53255,61189
CUNY Queens College,Public,Urban Studies,Bachelor's Degree,42995,55584,60656
San Francisco State University,Public,Urban Studies,Bachelor's Degree,50008,66159,57943
University of Connecticut,Public,Urban Studies,Bachelor's Degree,34074,55065,57591
University of Connecticut-Avery Point,Public,Urban Studies,Bachelor's Degree,34074,55065,57591
University of Connecticut-Hartford Campus,Public,Urban Studies,Bachelor's Degree,34074,55065,57591
University of Connecticut-Stamford,Public,Urban Studies,Bachelor's Degree,34074,55065,57591
University of Connecticut-Waterbury Campus,Public,Urban Studies,Bachelor's Degree,34074,55065,57591
University of Minnesota-Twin Cities,Public,Urban Studies,Bachelor's Degree,27966,47953,55775
Virginia Commonwealth University,Public,Urban Studies,Bachelor's Degree,33626,52812,52091
Cleveland State University,Public,Urban Studies,Bachelor's Degree,38929,42894,48869
University of Arizona,Public,Urban Planning,Bachelor's Degree,40037,64631,85914
California State Polytechnic University-Pomona,Public,Urban Planning,Bachelor's Degree,45960,64621,71392
Cornell University,"Private, nonprofit",Urban Planning,Bachelor's Degree,37131,58532,70676
University of Washington-Seattle Campus,Public,Urban Planning,Bachelor's Degree,39635,53582,70447
Texas A & M University-College Station,Public,Urban Planning,Bachelor's Degree,50580,55046,65422
Florida Atlantic University,Public,Urban Planning,Bachelor's Degree,22719,55451,65382
Iowa State University,Public,Urban Planning,Bachelor's Degree,44146,59624,61658
Arizona State University Campus Immersion,Public,Urban Planning,Bachelor's Degree,46954,52445,61411
Arizona State University Digital Immersion,Public,Urban Planning,Bachelor's Degree,46954,52445,61411
Ohio State University-Main Campus,Public,Urban Planning,Bachelor's Degree,41501,53666,57866
Texas State University,Public,Urban Planning,Bachelor's Degree,47256,50917,57160
Westfield State University,Public,Urban Planning,Bachelor's Degree,32802,48103,54588
Martin Luther College,"Private, nonprofit",Theology,Bachelor's Degree,15327,39847,71992
Northwest University,"Private, nonprofit",Theology,Bachelor's Degree,41139,42682,60290
Northwest University-Center for Online and Extended Education,"Private, nonprofit",Theology,Bachelor's Degree,41139,42682,60290
Nazarene Bible College,"Private, nonprofit",Theology,Bachelor's Degree,40357,51692,55815
The Master's University and Seminary,"Private, nonprofit",Theology,Bachelor's Degree,43677,44574,53470
Moody Bible Institute,"Private, nonprofit",Theology,Bachelor's Degree,33488,44574,52048
College of Biblical Studies-Houston,"Private, nonprofit",Theology,Bachelor's Degree,47781,33046,49091
University of Notre Dame,"Private, nonprofit",Theology,Bachelor's Degree,45874,46078,48541
University of Valley Forge,"Private, nonprofit",Theology,Bachelor's Degree,25051,48764,46629
Johnson University,"Private, nonprofit",Theology,Bachelor's Degree,33627,34579,43314
Johnson University Florida,"Private, nonprofit",Theology,Bachelor's Degree,33627,34579,43314
Palm Beach Atlantic University,"Private, nonprofit",Theology,Bachelor's Degree,28383,34877,41607
Oral Roberts University,"Private, nonprofit",Theology,Bachelor's Degree,27088,32554,41532
Franciscan University of Steubenville,"Private, nonprofit",Theology,Bachelor's Degree,29656,37442,41490
Universidad Adventista de las Antillas,"Private, nonprofit",Theology,Bachelor's Degree,23365,33067,39821
North Carolina State University at Raleigh,Public,Textile Science,Bachelor's Degree,45078,57894,71193
Carnegie Mellon University,"Private, nonprofit",Systems Engineering,Bachelor's Degree,95598,118034,133740
University of Virginia-Main Campus,Public,Systems Engineering,Bachelor's Degree,91178,113099,131258
George Mason University,Public,Systems Engineering,Bachelor's Degree,84942,106147,120847
University of Florida,Public,Systems Engineering,Bachelor's Degree,85698,97980,108020
University of Arizona,Public,Systems Engineering,Bachelor's Degree,76660,86600,103877
James Madison University,Public,Systems Engineering,Bachelor's Degree,65683,82147,101452
University of North Carolina at Charlotte,Public,Systems Engineering,Bachelor's Degree,68034,78998,89128
University of Illinois Urbana-Champaign,Public,Systems Engineering,Bachelor's Degree,35239,48863,59488
Columbia University in the City of New York,"Private, nonprofit",Sustainability Studies,Bachelor's Degree,53957,74682,85716
Aquinas College,"Private, nonprofit",Sustainability Studies,Bachelor's Degree,29399,47255,69211
University of Florida,Public,Sustainability Studies,Bachelor's Degree,39261,47660,62552
University of Northern Colorado,Public,Sustainability Studies,Bachelor's Degree,42076,48875,54162
Colorado Mountain College,Public,Sustainability Studies,Bachelor's Degree,31734,35647,38053
Carnegie Mellon University,"Private, nonprofit",Statistics,Bachelor's Degree,93111,142883,155025
University of California-Berkeley,Public,Statistics,Bachelor's Degree,83227,102151,145658
Duke University,"Private, nonprofit",Statistics,Bachelor's Degree,97197,113854,121776
University of California-Santa Barbara,Public,Statistics,Bachelor's Degree,55110,81375,110783
University of Virginia-Main Campus,Public,Statistics,Bachelor's Degree,73991,84065,108373
Brigham Young University,"Private, nonprofit",Statistics,Bachelor's Degree,63671,89001,107867
University of California-Davis,Public,Statistics,Bachelor's Degree,49264,80650,107082
University of Michigan-Ann Arbor,Public,Statistics,Bachelor's Degree,64371,98758,105494
University of Illinois Urbana-Champaign,Public,Statistics,Bachelor's Degree,68636,84760,104911
The Pennsylvania State University,Public,Statistics,Bachelor's Degree,68254,78209,102466
Purdue University-Main Campus,Public,Statistics,Bachelor's Degree,72579,90328,97489
Michigan State University,Public,Statistics,Bachelor's Degree,63649,81993,94328
University of California-Los Angeles,Public,Statistics,Bachelor's Degree,59718,77720,94154
University of Florida,Public,Statistics,Bachelor's Degree,59619,74408,92382
University of Georgia,Public,Statistics,Bachelor's Degree,53743,70287,83951
University of Minnesota-Duluth,Public,Statistics,Bachelor's Degree,56435,70447,83264
University of Minnesota-Twin Cities,Public,Statistics,Bachelor's Degree,66434,70804,83050
Florida State University,Public,Statistics,Bachelor's Degree,47347,64697,82522
North Carolina State University at Raleigh,Public,Statistics,Bachelor's Degree,54026,75555,78288
Grand Valley State University,Public,Statistics,Bachelor's Degree,43668,65601,78011
University of Connecticut,Public,Statistics,Bachelor's Degree,55279,68100,76845
University of Connecticut-Avery Point,Public,Statistics,Bachelor's Degree,55279,68100,76845
University of Connecticut-Hartford Campus,Public,Statistics,Bachelor's Degree,55279,68100,76845
University of Connecticut-Stamford,Public,Statistics,Bachelor's Degree,55279,68100,76845
